RUC;NOMBRE;UBICACION;TELEFONO
-;NICKY 1069;GALERIA 1069;-
-;NICOLINI 614;CUADRA 6;-
-;NIMA TUCUME - LAMBAYEQUE;LAMBAYEQUE;-
-;NORMA GYS - PTE. PIEDRA;PTE. PIEDRA;-
-;NOVACELINO;-;-
-;NYH;-;-
-;NYL 1057;CUADRA 10;-
-;NYN;-;-
-;ÑAÑES 904;FRENTE;-
-;OBER TENIO;-;-
-;OLCLASS 927;CUADRA 9;-
-;OLCLASS 986;FRENTE;-
-;OLENKA;-;-
-;OLIVER;-;-
-;OSCAR MARTINEZ;-;-
-;OYR CERAMICA;-;-
-;PABLO;CONSTRUCENTER;-
-;PALACIOS - CHIMBOTE;CHIMBOTE;-
-;PALETAS;-;-
-;PAMESA 977A;CUADRA 9;-
-;PASCUAL - HUANUCO;HUANUCO;-
-;PATY 972;STA. CLORINDA;-
-;PAUL;CONSTRUCENTER;-
-;PAULA 1049;CUADRA 10;-
-;PEDRO - HUAROCHIRI;HUAROCHIRI;-
-;PEDRO NOLASCO;-;-
-;PEGAFAST;-;-
-;PEGAFORT;-;-
-;PELANCHO;CONSTRUCENTER;-
-;PERCY;-;-
-;PITER - ATE;ATE;-
-;PITER - HUARAL;HUARAL;-
-;PJ - SURQUILLO;SURQUILLO;-
-;PLAZA CERAMICA 935;CUADRA 9;-
-;POL JARAMILLO;-;-
-;PORCELANOR - TRUJILLO;TRUJILLO;-
-;PORFIRIO;-;-
-;PREDISA 889;CUADRA 8;-
-;PRO CERAMIC;-;-
-;PRONORT;-;-
-;PROYECTO 108;CONSTRUCENTER;-
-;PYB 938;FRENTE;-
-;REAL CASA;CUADRA 10;-
-;REALCE 101;STA. INES;-
-;REALCE 931;GALERIA 931;-
-;RICHARD ASCIS 103;STA. MERCEDEZ;-
-;ROAL 931B;GALERIA 931;-
-;ROBERT NUÑEZ;-;-
-;ROBERTO;CONSTRUCENTER;-
-;ROBERTO BANCES - LAMBAYEQUE;LAMBAYEQUE;-
-;ROBLES - HUARAZ;HUARAZ;-
-;ROGER CORNEJO;-;-
-;ROMASA 1000;CUADRA 10;-
-;ROMERO;CONSTRUCENTER;-
-;ROMISA - CARABAYLLO;CARABAYLLO;-
-;RONALD 995 ZOTANO;GALERIA 955 ZOTANO;-
-;RONY;CONSTRUCENTER;-
-;ROSA 948;CUADRA 9;-
-;ROSA 995 ZOTANO;GALERIA 955 ZOTANO;-
-;ROSITA 781;CUADRA 7;-
-;ROSSY;CONSTRUCENTER;-
-;ROVELSA;CONSTRUCENTER;-
-;ROXANA;-;-
-;ROXANA 891;-;-
-;RUBEN 995 ZOTANO;GALERIA 955 ZOTANO;-
-;RUDY 995 ZOTANO;GALERIA 955 ZOTANO;-
-;RUPERSA;-;-
-;RUSBELL - CHIMBOTE;CHIMBOTE;-
-;RUTH - ATE;ATE;-
