IMAGEN;NOMBRE;COD_PRODUCTO;CATEGORIA;PRECIO;CANTIDAD
-;LUVIA BLANCO;-;PORCELANATOS;S/ 30.07;1000
-;LUXURY GOLD;-;PORCELANATOS;S/ 31.61;1000
-;MABLE GOLDEN;-;CERAMICAS;S/ 51.98;1000
-;MABLE MARRON;-;PORCELANATOS;S/ 3.00;1000
-;MADERA ALVA 120;-;TABLONES;S/ 37.56;1000
-;MADERA AUCALIPTO;-;PORCELANATOS;S/ 44.62;1000
-;MADERA BEIGE;-;PORCELANATOS;S/ 30.82;1000
-;MADERA CAFE;-;PORCELANATOS;S/ 33.48;1000
-;MADERA CARAMELO;-;PORCELANATOS;S/ 30.54;1000
-;MADERA CAROBA;-;PORCELANATOS;S/ 32.03;1000
-;MADERA KANSAS;-;PORCELANATOS;S/ 28.09;1000
-;MADERA MARFIL;-;DECORACIONES;S/ 38.73;1000
-;MADERA NEVADO;-;PORCELANATOS;S/ 33.40;1000
-;MADERA OCRE;-;PORCELANATOS;S/ 33.70;1000
-;MADERA OLMO;-;PORCELANATOS;S/ 31.57;1000
-;MADERA PAROTA;-;PORCELANATOS;S/ 33.44;1000
-;MADERA ROBLE;-;PORCELANATOS;S/ 7.00;1000
-;MADERA SIERRA;-;PORCELANATOS;S/ 44.02;1000
-;MADERA SINALOA;-;PORCELANATOS;S/ 36.72;1000
-;MADERA TORNILLO;-;PORCELANATOS;S/ 31.08;1000
-;MADERA VITRIFICADO;-;PORCELANATOS;S/ 29.53;1000
-;MADERA WHITE;-;PORCELANATOS;S/ 29.04;1000
-;MARBEL BLACK;-;CERAMICAS;S/ 26.78;1000
-;MARBEL GOLDEN;-;PORCELANATOS;S/ 36.58;1000
-;MARBLE MARRON;-;MAYOLICAS;S/ 28.39;1000
-;MARIANA CALACATA;-;FACHALETAS;S/ 23.28;1000
-;MARMO BEIGE;-;PORCELANATOS;S/ 36.73;1000
-;MARMO GOLD;-;CERAMICAS;S/ 28.00;1000
-;MARMOL GRIS;-;CERAMICAS;S/ 28.25;1000
-;MARMOL HOJA;-;MAYOLICAS;S/ 26.50;1000
-;MARRON 120;-;PORCELANATOS;S/ 32.35;1000
-;MATE BARI BROWN;-;CERAMICAS;S/ 29.46;1000
-;MATE BLANCO;-;PORCELANATOS;S/ 32.04;1000
-;MATE MIX 66048;-;PORCELANATOS;S/ 31.94;1000
-;MATE NEGRO;-;CERAMICAS;S/ 31.98;1000
-;MATRIX AZUL;-;FACHALETAS;S/ 32.27;1000
-;MATRIX BROWN;-;FACHALETAS;S/ 50.46;1000
-;MATRIX DARK;-;FACHALETAS;S/ 30.67;1000
-;MATRIX GREY;-;FACHALETAS;S/ 39.61;1000
-;MATRIX GRIS;-;FACHALETAS;S/ 45.36;1000
-;MEK BEIGE 120;-;PORCELANATOS;S/ 28.45;1000
-;MONARCA GOLD;-;MAYOLICAS;S/ 24.39;1000
-;MONTANA CEDRO;-;FACHALETAS;S/ 33.75;1000
-;NACAR BEIGE;-;CERAMICAS;S/ 32.56;1000
-;NAKIA PLATA;-;MAYOLICAS;S/ 35.25;1000
-;NEGRO MATE;-;CERAMICAS;S/ 32.37;1000
